sex,age,treatment,voted,person_id,hh_size,social_pressure_continuous,social_pressure_categorical,voted2,treatment2
"female",43,"Control","No",84133,1,1.257472,1,0,0
".",64,"Control","No",71347,2,3.69918,4,0,0
"female",71,"Control","Yes",80223,1,4.138685,4,1,0
"male",37,"Control","No",15826,2,1.239528,1,0,0
".",58,"Control","No",171544,2,2.784244,3,0,0
"female",54,"Control","No",115788,3,1.429668,1,0,0
"male",38,"Control","Yes",129974,2,1.986854,2,1,0
"female",45,"Control","Yes",150603,2,3.431875,3,1,0
".",50,"Control","No",148337,2,0,0,0,0
"male",55,"Control","No",19518,5,2.719372,3,0,0
"female",44,"Control","No",28801,2,2.161791,2,0,0
"female",50,"Control","Yes",86603,2,2.555334,3,1,0
"male",50,"Control","Yes",31325,3,2.87603,3,1,0
"female",79,"Control","No",71645,2,3.240916,3,0,0
"male",44,"Control","No",112817,2,1.516295,2,0,0
"female",26,"Control","No",114992,2,1.145559,1,0,0
"female",67,"Control","Yes",139089,2,.9683415,1,1,0
"male",52,"Control","No",79256,2,2.621459,3,0,0
"male",40,"Control","No",114698,3,1.68296,2,0,0
".",41,"Control","No",168873,3,1.091906,1,0,0
"female",58,"Control","No",150480,2,1.845561,2,0,0
".",50,"Control","No",90321,2,0,0,0,0
"male",61,"Control","No",55365,3,1.643233,2,0,0
"male",,"Control","No",81688,1,3.211648,3,0,0
"male",46,"Control","Yes",23832,2,3.797015,4,1,0
"male",48,"Control","No",10560,2,3.835918,4,0,0
"female",22,"Control","Yes",20681,5,4.488039,4,1,0
"male",65,"Control","Yes",153584,1,3.853366,4,1,0
".",54,"Control","Yes",113811,2,5,5,1,0
"male",45,"Control","Yes",108126,2,3.366233,3,1,0
"female",,"Control","No",129496,2,1.846269,2,0,0
"male",46,"Control","No",2486,2,1.113605,1,0,0
"female",44,"Control","No",56956,2,1.125517,1,0,0
"female",57,"Control","No",33575,2,1.148873,1,0,0
"male",66,"Control","Yes",15621,2,3.409568,3,1,0
".",56,"Control","Yes",71496,2,2.956289,3,1,0
".",83,"Control","Yes",1852,1,1.224285,1,1,0
"female",55,"Control","No",101076,2,1.526323,2,0,0
"female",60,"Control","Yes",159847,2,3.330637,3,1,0
"male",52,"Control","Yes",69533,2,2.351559,2,1,0
"male",61,"Control","Yes",105630,1,2.104269,2,1,0
"male",53,"Control","No",38393,3,2.224239,2,0,0
"male",56,"Control","Yes",120374,2,2.263752,2,1,0
"female",20,"Control","No",126919,2,2.867748,3,0,0
"male",73,"Control","No",71358,2,0,0,0,0
"female",47,"Control","Yes",15866,2,3.730191,4,1,0
"male",24,"Control","No",46077,4,2.312492,2,0,0
"female",23,"Control","No",67107,4,.7670692,1,0,0
"male",62,"Control","No",68601,2,0,0,0,0
"male",63,"Control","No",12309,2,1.245269,1,0,0
"female",57,"Control","No",169332,1,1.517495,2,0,0
"male",44,"Control","No",104422,3,.7862438,1,0,0
"male",51,"Control","Yes",49355,2,2.215408,2,1,0
"male",57,"Control","No",10318,2,.2480769,0,0,0
"female",50,"Control","No",140211,2,2.549477,3,0,0
"male",42,"Control","No",56083,3,2.425239,2,0,0
"female",,"Control","No",115966,3,1.077994,1,0,0
"female",,"Control","Yes",17894,4,2.390727,2,1,0
"female",57,"Control","No",74819,2,4.055282,4,0,0
"male",44,"Control","No",58170,2,3.353058,3,0,0
"male",68,"Control","Yes",111269,1,2.995089,3,1,0
"female",49,"Control","Yes",138235,1,1.259575,1,1,0
"female",23,"Control","No",53033,3,2.50855,3,0,0
"female",51,"Control","No",173691,2,3.955288,4,0,0
"female",60,"Control","No",106052,2,2.365028,2,0,0
"male",51,"Control","No",75528,2,.0348142,0,0,0
".",31,"Control","No",90498,2,2.656243,3,0,0
"female",53,"Control","No",66981,1,1.979477,2,0,0
"female",41,"Control","No",100402,2,.9951133,1,0,0
"male",51,"Control","No",38905,2,1.445298,1,0,0
"male",66,"Control","No",103175,2,.6308298,1,0,0
"male",60,"Control","Yes",78178,3,1.888572,2,1,0
"female",53,"Control","No",7739,2,4.538194,5,0,0
"male",52,"Control","No",70354,3,0,0,0,0
"male",44,"Control","No",138191,2,2.561622,3,0,0
"male",78,"Control","No",121968,2,2.327268,2,0,0
"male",54,"Control","No",18567,2,2.675138,3,0,0
"male",64,"Control","No",75824,2,2.944949,3,0,0
"female",41,"Control","No",53528,2,2.403098,2,0,0
"female",21,"Control","No",129302,4,3.282779,3,0,0
"male",,"Control","Yes",55363,2,3.986277,4,1,0
"female",75,"Control","No",57778,2,1.702179,2,0,0
"male",78,"Control","Yes",107461,1,4.035119,4,1,0
"female",59,"Control","No",6242,2,2.648832,3,0,0
"female",39,"Control","Yes",11202,2,3.275433,3,1,0
".",46,"Control","No",136319,2,1.451886,1,0,0
"female",45,"Control","No",149667,4,2.4414,2,0,0
"male",20,"Control","No",148256,4,1.497856,1,0,0
"male",63,"Control","Yes",31311,2,.774454,1,1,0
".",29,"Control","Yes",170012,2,5,5,1,0
"female",52,"Control","No",84807,2,0,0,0,0
"male",63,"Control","Yes",7662,2,4.941769,5,1,0
"male",48,"Control","No",157483,2,2.387393,2,0,0
"male",39,"Control","No",176830,1,1.630646,2,0,0
"female",21,"Control","No",119643,2,1.196387,1,0,0
"male",,"Control","No",158626,2,1.109408,1,0,0
"female",45,"Control","No",166696,2,3.084962,3,0,0
"male",60,"Control","No",86826,2,1.246845,1,0,0
"male",46,"Control","No",117443,2,3.308168,3,0,0
"female",62,"Control","No",92315,1,0,0,0,0
".",63,"Control","No",89309,2,2.013964,2,0,0
"male",45,"Control","No",14283,2,.5697144,1,0,0
"female",64,"Control","No",168077,1,.8954745,1,0,0
"male",46,"Control","No",138901,2,1.468208,1,0,0
"female",39,"Control","No",119005,2,4.161047,4,0,0
"female",35,"Control","No",10437,3,.5956024,1,0,0
"male",55,"Control","No",69624,2,2.762983,3,0,0
"female",52,"Control","No",171534,2,1.573386,2,0,0
".",23,"Control","No",131527,3,2.405708,2,0,0
"female",33,"Control","Yes",101062,2,1.984982,2,1,0
"male",55,"Control","Yes",11024,2,2.246663,2,1,0
"male",46,"Control","No",36462,2,2.568757,3,0,0
"male",61,"Control","No",24569,2,2.291128,2,0,0
"male",72,"Control","No",82983,3,1.84183,2,0,0
"female",21,"Control","No",134291,4,1.812456,2,0,0
"male",43,"Control","Yes",1802,3,2.84432,3,1,0
"male",66,"Control","Yes",169592,2,2.742504,3,1,0
"female",66,"Control","Yes",5689,3,.365166,0,1,0
"female",,"Control","No",152701,2,.7159752,1,0,0
"female",,"Control","Yes",158816,2,5,5,1,0
"male",,"Control","No",77225,4,2.169391,2,0,0
"male",34,"Control","Yes",67463,2,0,0,1,0
"male",48,"Control","No",116480,2,3.502934,4,0,0
"male",,"Control","No",135810,3,1.059873,1,0,0
"female",60,"Control","Yes",75510,2,3.543465,4,1,0
"male",57,"Control","No",24760,2,1.26505,1,0,0
"female",68,"Control","No",150764,2,1.920774,2,0,0
"male",,"Control","No",32812,3,1.96822,2,0,0
"female",24,"Control","No",112644,4,2.572299,3,0,0
"male",38,"Control","No",4091,1,1.220032,1,0,0
"female",44,"Control","No",54826,1,2.377126,2,0,0
"male",,"Control","No",95270,3,1.821577,2,0,0
".",44,"Control","No",165762,2,1.874493,2,0,0
"male",43,"Control","Yes",41228,2,2.176574,2,1,0
"male",44,"Control","Yes",133368,4,2.2108,2,1,0
"female",,"Control","No",31870,2,4.735079,5,0,0
"male",31,"Control","No",47486,3,4.343597,4,0,0
"male",73,"Control","No",122659,2,2.078267,2,0,0
"female",44,"Control","No",143244,2,3.357629,3,0,0
"female",44,"Control","No",123629,2,1.476364,1,0,0
"male",22,"Control","Yes",54706,5,4.667457,5,1,0
"male",48,"Control","No",27041,2,3.829276,4,0,0
"male",42,"Control","No",131045,2,2.689859,3,0,0
"female",56,"Control","Yes",165705,2,4.002398,4,1,0
"male",64,"Control","No",156909,2,2.845084,3,0,0
"male",63,"Control","No",139046,2,2.53833,3,0,0
"female",40,"Control","No",146629,2,2.657015,3,0,0
"female",32,"Control","No",110072,2,2.248107,2,0,0
"male",42,"Control","No",7315,2,2.242676,2,0,0
"female",49,"Control","Yes",25078,2,4.781006,5,1,0
"male",,"Control","Yes",41972,2,2.813777,3,1,0
"male",59,"Control","No",7519,3,3.326084,3,0,0
"male",55,"Control","Yes",119603,1,2.130311,2,1,0
"female",47,"Control","Yes",81234,2,2.02719,2,1,0
"male",56,"Control","Yes",138958,2,4.511628,5,1,0
"female",71,"Control","No",7438,2,.892738,1,0,0
"male",59,"Control","No",30565,2,2.020186,2,0,0
"male",79,"Control","Yes",63440,1,1.008858,1,1,0
".",74,"Control","Yes",71366,2,3.123116,3,1,0
"male",24,"Control","No",133542,4,3.46932,3,0,0
"male",41,"Control","No",53694,2,3.743273,4,0,0
"female",52,"Control","No",77939,2,1.692829,2,0,0
"male",23,"Control","No",63367,3,3.147803,3,0,0
"male",64,"Control","No",157854,3,2.55779,3,0,0
"female",20,"Control","No",59323,4,1.811748,2,0,0
"female",49,"Control","Yes",8087,2,2.51152,3,1,0
"female",52,"Control","Yes",109204,3,2.433538,2,1,0
"female",47,"Control","No",128436,3,3.413843,3,0,0
"female",51,"Control","Yes",173518,1,1.523017,2,1,0
".",53,"Control","Yes",101299,2,3.91074,4,1,0
"male",,"Control","No",104578,4,1.873096,2,0,0
".",69,"Control","No",68188,3,.1767442,0,0,0
"female",88,"Control","No",172136,2,1.142454,1,0,0
"male",36,"Control","Yes",147446,1,3.614763,4,1,0
"female",,"Control","No",92937,2,.4634479,0,0,0
"female",81,"Control","No",47007,4,0,0,0,0
"female",79,"Control","No",66013,1,3.773765,4,0,0
".",43,"Control","No",72897,2,1.970659,2,0,0
"female",63,"Control","Yes",153597,2,5,5,1,0
"male",46,"Control","No",6930,2,2.077187,2,0,0
"male",27,"Control","Yes",1889,2,2.111776,2,1,0
"male",53,"Control","No",92501,3,3.448846,3,0,0
"female",21,"Control","No",155961,3,1.535355,2,0,0
"male",58,"Control","No",126211,2,2.869386,3,0,0
"female",79,"Control","No",80958,2,2.119282,2,0,0
"male",59,"Control","No",84903,2,.9645776,1,0,0
"male",72,"Control","No",153475,2,.7346647,1,0,0
"male",68,"Control","Yes",96658,2,1.133119,1,1,0
"male",44,"Control","No",103332,2,.7154725,1,0,0
"female",,"Control","No",106362,2,2.785072,3,0,0
"male",42,"Control","No",161494,2,2.337916,2,0,0
"male",,"Control","Yes",135004,2,3.365837,3,1,0
"female",41,"Control","No",56688,2,4.130961,4,0,0
"male",47,"Control","No",149551,1,2.679826,3,0,0
"female",47,"Control","No",85584,4,1.445864,1,0,0
"female",,"Control","Yes",123147,3,3.189307,3,1,0
"female",44,"Control","No",52238,2,2.351765,2,0,0
"female",31,"Control","No",66457,2,2.676703,3,0,0
".",49,"Control","No",3672,2,3.68663,4,0,0
"female",31,"Control","No",16365,1,1.586063,2,0,0
"female",51,"Control","No",42362,2,1.66341,2,0,0
"female",34,"Control","Yes",29505,4,5,5,1,0
"male",64,"Control","Yes",140808,2,5,5,1,0
"male",64,"Control","Yes",169004,2,2.75479,3,1,0
"male",45,"Control","Yes",86224,3,2.927288,3,1,0
"male",37,"Control","No",4743,2,1.967991,2,0,0
"male",21,"Control","No",122606,3,4.338462,4,0,0
"male",,"Control","No",80371,2,3.449381,3,0,0
"female",54,"Control","No",104871,1,4.144498,4,0,0
"female",45,"Control","No",30007,2,2.88516,3,0,0
"male",,"Control","No",163018,2,1.005409,1,0,0
"female",44,"Control","No",89219,2,.5575036,1,0,0
"male",40,"Control","No",148758,2,2.333925,2,0,0
"female",43,"Control","No",147672,2,2.425952,2,0,0
".",55,"Control","No",8481,4,3.158124,3,0,0
"female",47,"Control","No",53258,2,4.38693,4,0,0
"female",34,"Control","No",50194,2,3.389479,3,0,0
"female",65,"Control","Yes",102429,2,4.704687,5,1,0
"male",24,"Control","No",59010,3,5,5,0,0
"male",61,"Control","Yes",145625,1,2.911371,3,1,0
".",59,"Control","No",148492,2,0,0,0,0
"male",46,"Control","No",19326,3,1.106065,1,0,0
"female",40,"Control","No",87577,1,1.911055,2,0,0
".",40,"Control","No",158512,2,.3839595,0,0,0
"male",63,"Control","Yes",89491,1,3.648496,4,1,0
"female",64,"Control","Yes",104596,2,2.515324,3,1,0
".",51,"Control","Yes",15761,1,2.369506,2,1,0
"female",52,"Control","No",49122,4,1.172563,1,0,0
"male",52,"Control","Yes",73189,2,2.420795,2,1,0
"male",36,"Control","Yes",49262,2,3.275306,3,1,0
"female",43,"Control","No",49975,2,1.712772,2,0,0
"male",53,"Control","Yes",55187,3,3.620878,4,1,0
"male",,"Control","No",145940,3,1.426572,1,0,0
"male",59,"Control","Yes",130339,2,3.22745,3,1,0
".",53,"Control","No",16780,3,3.609491,4,0,0
"female",37,"Control","Yes",63066,2,3.228123,3,1,0
".",37,"Control","No",145456,2,.9088684,1,0,0
"male",54,"Control","Yes",17918,2,3.259143,3,1,0
"female",46,"Control","Yes",120489,2,4.471247,4,1,0
"male",57,"Control","Yes",27462,2,3.155864,3,1,0
"male",22,"Control","No",101826,3,2.713563,3,0,0
".",56,"Control","No",64629,2,2.049706,2,0,0
"male",,"Control","No",10681,2,2.144281,2,0,0
"male",,"Control","No",22812,3,2.681116,3,0,0
"male",55,"Control","No",25107,2,.748636,1,0,0
"male",44,"Control","Yes",73033,1,2.600632,3,1,0
".",22,"Control","No",69532,3,2.657273,3,0,0
"female",,"Control","No",137344,2,2.352958,2,0,0
"female",67,"Control","No",105043,2,2.601873,3,0,0
"male",50,"Control","No",21457,2,.1135931,0,0,0
"male",54,"Control","No",9931,2,3.483899,3,0,0
"female",,"Control","No",40208,3,.4506753,0,0,0
"female",51,"Control","No",123672,2,3.230817,3,0,0
"male",53,"Control","No",125227,2,1.700403,2,0,0
"female",43,"Control","No",151545,2,2.925926,3,0,0
"male",,"Control","No",28470,1,2.64879,3,0,0
"female",49,"Control","No",67264,3,1.268627,1,0,0
"male",26,"Control","No",54406,3,3.223832,3,0,0
"male",57,"Control","No",45002,2,2.205476,2,0,0
"female",64,"Control","No",96761,2,3.201062,3,0,0
"male",46,"Control","Yes",69394,3,2.309652,2,1,0
"female",37,"Control","No",20317,2,5,5,0,0
"female",48,"Control","No",70111,3,.6769694,1,0,0
"female",70,"Control","Yes",165223,2,2.643468,3,1,0
"female",43,"Control","No",105565,1,1.899529,2,0,0
".",39,"Control","No",55438,2,1.316733,1,0,0
"male",59,"Control","No",86329,2,1.046342,1,0,0
"male",58,"Control","Yes",17360,3,.0306562,0,1,0
"female",59,"Control","No",18404,2,1.307593,1,0,0
"female",59,"Control","No",2208,2,1.275251,1,0,0
".",48,"Control","No",54571,2,.8724316,1,0,0
"male",25,"Control","No",23702,3,2.915401,3,0,0
"female",32,"Control","No",22870,3,2.642366,3,0,0
"male",61,"Control","No",153690,2,1.958157,2,0,0
"male",47,"Control","Yes",177271,2,3.044068,3,1,0
"male",45,"Control","Yes",48490,2,1.330037,1,1,0
".",56,"Control","Yes",172690,1,3.759877,4,1,0
"female",60,"Control","No",168440,2,1.487979,1,0,0
"female",20,"Control","No",124377,2,2.696377,3,0,0
"female",62,"Control","No",97160,2,5,5,0,0
"male",45,"Control","No",118754,2,3.76143,4,0,0
"male",60,"Control","No",78041,1,2.26657,2,0,0
"male",41,"Control","Yes",81765,2,1.107316,1,1,0
"male",38,"Control","Yes",149638,2,5,5,1,0
"female",35,"Control","No",127847,2,1.048212,1,0,0
".",61,"Control","No",133040,2,1.949202,2,0,0
"female",38,"Control","No",3368,2,3.421571,3,0,0
".",72,"Control","Yes",114074,3,2.838195,3,1,0
"male",40,"Control","Yes",120573,2,2.750321,3,1,0
"female",52,"Control","No",167054,2,2.341833,2,0,0
".",55,"Control","No",144315,4,1.837372,2,0,0
"male",37,"Control","Yes",11618,2,5,5,1,0
"female",52,"Control","No",37127,2,1.917037,2,0,0
".",64,"Control","No",73235,1,2.580138,3,0,0
".",59,"Control","Yes",68402,2,2.447406,2,1,0
"female",84,"Control","No",81035,2,.7848358,1,0,0
"female",44,"Control","No",31066,2,3.186204,3,0,0
"male",52,"Control","No",78818,1,2.669367,3,0,0
"male",24,"Control","No",46718,3,2.491506,2,0,0
"female",,"Control","No",119624,3,2.028529,2,0,0
"male",56,"Control","Yes",77690,2,2.048532,2,1,0
"male",51,"Control","Yes",116095,1,5,5,1,0
".",,"Control","No",90925,2,3.256999,3,0,0
"female",48,"Control","No",168670,2,3.338756,3,0,0
".",21,"Control","Yes",164629,4,2.527679,3,1,0
"male",52,"Control","No",127927,4,1.787261,2,0,0
"male",68,"Control","Yes",2729,2,3.285935,3,1,0
"male",35,"Control","Yes",148687,2,2.759414,3,1,0
"female",44,"Control","Yes",16962,2,1.6236,2,1,0
"male",58,"Control","No",40611,3,4.815922,5,0,0
"female",68,"Control","No",130381,2,1.724883,2,0,0
"male",54,"Control","No",93764,2,2.14076,2,0,0
"male",53,"Control","No",82546,3,1.175153,1,0,0
"male",53,"Control","Yes",24339,1,1.685419,2,1,0
"male",79,"Control","No",107500,2,1.68965,2,0,0
"female",74,"Control","Yes",44931,2,4.061821,4,1,0
"male",25,"Control","Yes",122316,3,.827237,1,1,0
"female",47,"Control","Yes",158493,2,1.952007,2,1,0
"male",51,"Control","No",22426,2,3.557664,4,0,0
"female",53,"Control","No",118249,3,3.086821,3,0,0
".",53,"Control","No",131866,1,2.804224,3,0,0
"male",,"Control","No",32981,2,1.612358,2,0,0
"male",47,"Control","No",92634,3,2.718643,3,0,0
"female",57,"Control","No",6992,3,1.765306,2,0,0
"female",48,"Control","No",9857,2,1.660599,2,0,0
"male",,"Control","Yes",36647,3,4.138233,4,1,0
".",47,"Control","No",121204,2,2.502042,3,0,0
"male",39,"Control","No",10927,2,1.414786,1,0,0
"female",42,"Control","No",163547,2,.3518133,0,0,0
"female",68,"Control","No",80879,1,3.12526,3,0,0
"male",46,"Control","Yes",90680,2,2.34639,2,1,0
"male",73,"Control","No",44039,2,1.478077,1,0,0
"male",47,"Control","No",1391,1,1.558547,2,0,0
"female",48,"Control","No",152321,2,1.788679,2,0,0
"female",68,"Control","No",62284,2,1.443048,1,0,0
"male",63,"Control","No",44817,3,4.978952,5,0,0
"male",31,"Control","No",80436,2,1.273381,1,0,0
"male",76,"Control","No",100551,2,3.030119,3,0,0
"male",44,"Control","Yes",59627,1,2.828105,3,1,0
"male",21,"Control","No",155418,3,2.467556,2,0,0
"male",21,"Control","No",123441,3,0,0,0,0
"male",64,"Control","Yes",917,2,3.979949,4,1,0
"female",37,"Control","No",94919,1,3.3388,3,0,0
"male",44,"Control","No",119962,2,3.25289,3,0,0
"female",61,"Control","No",46882,2,2.951245,3,0,0
"female",50,"Control","No",126168,2,3.623731,4,0,0
"female",46,"Control","No",33933,2,3.841496,4,0,0
"male",47,"Control","Yes",88192,3,2.491243,2,1,0
"male",55,"Control","Yes",39065,3,2.689681,3,1,0
"male",45,"Control","Yes",119692,2,3.140747,3,1,0
"female",51,"Control","No",31889,2,2.946863,3,0,0
"male",53,"Control","Yes",76289,3,2.392684,2,1,0
"female",40,"Control","No",143508,2,1.247487,1,0,0
"female",45,"Control","No",81038,2,3.762625,4,0,0
"female",45,"Control","No",122526,2,1.893399,2,0,0
"male",49,"Control","Yes",147730,2,3.659556,4,1,0
"female",30,"Control","No",130599,2,1.918849,2,0,0
"male",62,"Control","No",172721,2,3.71682,4,0,0
"female",49,"Control","No",111771,2,.5268289,1,0,0
"male",41,"Control","No",50285,2,.9126703,1,0,0
".",40,"Control","No",35809,2,1.901453,2,0,0
".",52,"Control","No",74840,3,.9004868,1,0,0
".",44,"Control","No",18308,1,3.143973,3,0,0
"male",63,"Control","No",119335,2,.2261115,0,0,0
"female",42,"Control","No",139987,3,.4367658,0,0,0
"male",,"Control","Yes",149263,2,1.714735,2,1,0
"male",74,"Control","Yes",69109,1,3.460219,3,1,0
"male",59,"Control","Yes",91040,2,4.815505,5,1,0
"female",,"Control","No",40257,3,3.215957,3,0,0
"female",73,"Control","Yes",69651,2,1.79485,2,1,0
"male",59,"Control","No",28420,3,1.187655,1,0,0
"female",56,"Control","Yes",172870,3,1.679725,2,1,0
".",54,"Control","No",17187,3,.8437196,1,0,0
"male",50,"Control","No",163260,3,2.257935,2,0,0
".",75,"Control","No",65467,3,1.910147,2,0,0
".",39,"Control","No",15668,2,2.385841,2,0,0
"male",65,"Control","No",148754,2,2.949769,3,0,0
"female",57,"Control","No",83213,2,0,0,0,0
".",,"Neighbors","No",132614,2,2.894375,3,0,1
"male",35,"Neighbors","Yes",144805,2,3.757781,4,1,1
"female",44,"Neighbors","No",170649,2,1.085181,1,0,1
"female",40,"Neighbors","Yes",154227,2,3.01788,3,1,1
"female",46,"Neighbors","No",62658,3,2.06683,2,0,1
"female",35,"Neighbors","No",172009,2,2.242775,2,0,1
"male",62,"Neighbors","No",47929,2,2.025563,2,0,1
"female",,"Neighbors","Yes",120168,3,3.802607,4,1,1
"male",79,"Neighbors","Yes",71442,2,3.793891,4,1,1
"male",,"Neighbors","No",109917,2,1.920941,2,0,1
"male",57,"Neighbors","No",144654,2,2.256929,2,0,1
"female",37,"Neighbors","No",136580,2,2.645144,3,0,1
"female",38,"Neighbors","Yes",49696,2,4.914563,5,1,1
"male",57,"Neighbors","No",172884,2,1.423401,1,0,1
"male",52,"Neighbors","Yes",31633,2,2.014658,2,1,1
"female",50,"Neighbors","No",61066,2,1.071492,1,0,1
"male",24,"Neighbors","No",137770,3,1.114875,1,0,1
"female",26,"Neighbors","No",79230,3,4.383181,4,0,1
"female",43,"Neighbors","Yes",156690,1,2.889674,3,1,1
"female",40,"Neighbors","No",147712,2,2.765493,3,0,1
"male",41,"Neighbors","No",29789,2,.9573128,1,0,1
"female",58,"Neighbors","No",58032,2,2.576523,3,0,1
".",55,"Neighbors","Yes",78625,2,2.883956,3,1,1
"female",54,"Neighbors","No",84525,2,1.721126,2,0,1
"female",63,"Neighbors","Yes",17507,1,3.523529,4,1,1
"male",51,"Neighbors","Yes",143572,2,5,5,1,1
"male",82,"Neighbors","No",6699,2,5,5,0,1
".",45,"Neighbors","Yes",101573,1,1.982793,2,1,1
"female",45,"Neighbors","Yes",14583,3,2.577727,3,1,1
"female",38,"Neighbors","Yes",111195,2,4.168771,4,1,1
".",67,"Neighbors","No",82561,2,2.959479,3,0,1
"male",64,"Neighbors","Yes",48422,2,1.216501,1,1,1
"female",47,"Neighbors","No",56531,2,3.980549,4,0,1
"male",57,"Neighbors","No",94034,2,2.621624,3,0,1
"male",35,"Neighbors","Yes",54282,2,4.46582,4,1,1
"male",47,"Neighbors","No",11804,3,1.951167,2,0,1
"female",49,"Neighbors","No",10425,3,.6740555,1,0,1
"male",65,"Neighbors","Yes",102868,2,.6208073,1,1,1
"male",66,"Neighbors","Yes",80756,2,1.755379,2,1,1
"female",34,"Neighbors","Yes",147942,2,3.651487,4,1,1
"male",,"Neighbors","Yes",88870,2,2.835224,3,1,1
"male",22,"Neighbors","No",140859,4,.5380294,1,0,1
"male",54,"Neighbors","No",79345,3,3.711212,4,0,1
"female",,"Neighbors","No",149428,2,2.143161,2,0,1
"male",69,"Neighbors","Yes",37818,2,4.873853,5,1,1
"female",90,"Neighbors","Yes",9431,1,3.413632,3,1,1
"male",29,"Neighbors","No",107460,2,2.40498,2,0,1
"female",65,"Neighbors","No",116849,2,2.828401,3,0,1
"female",49,"Neighbors","No",45069,2,1.696371,2,0,1
"female",29,"Neighbors","Yes",143628,2,2.981769,3,1,1
"male",36,"Neighbors","Yes",7056,2,4.166481,4,1,1
".",55,"Neighbors","Yes",168642,2,1.11116,1,1,1
"male",27,"Neighbors","No",1355,3,.015954,0,0,1
"female",26,"Neighbors","Yes",9343,2,1.186904,1,1,1
"male",,"Neighbors","Yes",19102,2,2.786821,3,1,1
"male",46,"Neighbors","No",11638,3,1.393877,1,0,1
"male",32,"Neighbors","Yes",150632,1,3.560446,4,1,1
"male",59,"Neighbors","No",29968,2,2.222896,2,0,1
".",54,"Neighbors","No",131793,4,2.644039,3,0,1
"male",39,"Neighbors","Yes",98471,2,.7145276,1,1,1
"male",58,"Neighbors","Yes",15755,2,3.685179,4,1,1
"female",48,"Neighbors","Yes",28357,2,2.039554,2,1,1
"male",49,"Neighbors","No",59651,1,1.796398,2,0,1
"female",34,"Neighbors","Yes",78619,2,.5290979,1,1,1
"female",51,"Neighbors","No",94764,2,1.154305,1,0,1
"female",45,"Neighbors","No",148782,3,3.484859,3,0,1
"female",24,"Neighbors","No",79622,3,2.645532,3,0,1
"female",20,"Neighbors","No",175391,3,.8884414,1,0,1
"male",,"Neighbors","No",36629,2,1.281375,1,0,1
"male",68,"Neighbors","No",178255,2,0,0,0,1
"female",49,"Neighbors","No",64846,2,3.162546,3,0,1
"female",62,"Neighbors","No",48058,2,2.781798,3,0,1
"male",63,"Neighbors","Yes",122184,2,2.617837,3,1,1
"male",35,"Neighbors","No",76424,2,4.311816,4,0,1
"male",52,"Neighbors","Yes",157877,2,2.358897,2,1,1
"male",46,"Neighbors","Yes",47004,1,2.161427,2,1,1
"female",55,"Neighbors","Yes",73375,2,3.491453,3,1,1
"male",29,"Neighbors","No",106497,2,1.089294,1,0,1
".",37,"Neighbors","No",58700,2,1.950103,2,0,1
"female",38,"Neighbors","No",54341,2,2.562119,3,0,1
"female",43,"Neighbors","No",161549,2,.9843744,1,0,1
"female",23,"Neighbors","No",92002,5,1.904168,2,0,1
"male",37,"Neighbors","No",146011,1,3.336943,3,0,1
"male",62,"Neighbors","Yes",114339,2,3.233263,3,1,1
"male",39,"Neighbors","No",3535,2,0,0,0,1
"male",54,"Neighbors","Yes",35070,4,3.464389,3,1,1
"male",27,"Neighbors","Yes",145546,2,4.610756,5,1,1
"male",30,"Neighbors","No",12491,2,2.820476,3,0,1
"female",22,"Neighbors","Yes",78169,4,1.455853,1,1,1
"female",,"Neighbors","No",97815,1,4.376682,4,0,1
"male",51,"Neighbors","No",76836,2,1.419562,1,0,1
".",,"Neighbors","No",112078,2,1.286674,1,0,1
"male",37,"Neighbors","No",169302,1,2.970435,3,0,1
"female",58,"Neighbors","Yes",41832,2,3.08632,3,1,1
"female",58,"Neighbors","No",143406,2,3.092463,3,0,1
"male",55,"Neighbors","No",25228,2,.571461,1,0,1
"female",20,"Neighbors","No",107630,3,2.31194,2,0,1
"female",45,"Neighbors","No",112318,2,.7382919,1,0,1
"male",,"Neighbors","Yes",155350,2,2.907097,3,1,1
".",52,"Neighbors","No",136971,2,1.57153,2,0,1
".",21,"Neighbors","No",131793,4,.0878891,0,0,1
"male",34,"Neighbors","Yes",4727,2,1.69845,2,1,1
"female",57,"Neighbors","Yes",72976,1,2.411121,2,1,1
"female",51,"Neighbors","No",86821,3,2.317388,2,0,1
"male",58,"Neighbors","Yes",173721,2,4.059441,4,1,1
"female",59,"Neighbors","Yes",37767,2,2.865271,3,1,1
"male",46,"Neighbors","No",20048,2,.8029861,1,0,1
"female",,"Neighbors","Yes",124263,2,3.805275,4,1,1
"male",47,"Neighbors","No",79134,2,2.447549,2,0,1
"male",46,"Neighbors","Yes",11068,2,1.998654,2,1,1
".",65,"Neighbors","Yes",128826,2,3.863593,4,1,1
"male",,"Neighbors","No",150864,2,1.403526,1,0,1
"female",75,"Neighbors","Yes",20203,2,2.326128,2,1,1
"male",51,"Neighbors","No",34458,3,2.916575,3,0,1
"female",,"Neighbors","No",151070,2,1.430591,1,0,1
"male",78,"Neighbors","No",113268,2,4.055241,4,0,1
"male",61,"Neighbors","Yes",172383,1,4.402044,4,1,1
"female",75,"Neighbors","No",62479,1,.8364078,1,0,1
"female",44,"Neighbors","No",71259,3,1.674002,2,0,1
"male",76,"Neighbors","No",168480,2,1.010808,1,0,1
